country_code year quarter vessel_length fishing_tech gear_type target_assemblage mesh_size_range metier supra_region sub_region eez_indicator geo_indicator specon_tech deep rectangle_type rectangle_lat rectangle_lon c_square totfishdays confidential
63 IOM 2018 2 VL1218 DRB DRB MOL NA DRB_MOL_0_0_0 NAO 27.6.A NA NGI NK NA 05*1 56.25 -5.5 NA 1 N
64 IOM 2018 2 VL1218 DRB DRB MOL NA DRB_MOL_0_0_0 NAO 27.6.A NA NGI NK NA 05*1 56.75 -6.5 NA 4 N
65 IOM 2018 2 VL1218 DRB DRB MOL NA DRB_MOL_0_0_0 NAO 27.6.A NA NGI NK NA 05*1 57.25 -5.5 NA 1 N
66 IOM 2018 2 VL1218 DRB DRB MOL NA DRB_MOL_0_0_0 NAO 27.7.A NA NGI NK NA 05*1 53.25 -4.5 NA 1 N
67 IOM 2018 2 VL1218 DRB DRB MOL NA DRB_MOL_0_0_0 NAO 27.7.A NA NGI NK NA 05*1 53.75 -5.5 NA 2 N
68 IOM 2018 2 VL1218 DRB DRB MOL NA DRB_MOL_0_0_0 NAO 27.7.A NA NGI NK NA 05*1 53.75 -4.5 NA 113 N
69 IOM 2018 2 VL1218 DRB DRB MOL NA DRB_MOL_0_0_0 NAO 27.7.A NA NGI NK NA 05*1 54.25 -5.5 NA 10 N
70 IOM 2018 2 VL1218 DRB DRB MOL NA DRB_MOL_0_0_0 NAO 27.7.A NA NGI NK NA 05*1 54.25 -4.5 NA 514 N
71 IOM 2018 2 VL1218 DRB DRB MOL NA DRB_MOL_0_0_0 NAO 27.7.A NA NGI NK NA 05*1 54.75 -5.5 NA 2 N
72 IOM 2018 3 VL1218 DRB DRB MOL NA DRB_MOL_0_0_0 NAO 27.6.A NA NGI NK NA 05*1 55.25 -5.5 NA 12 N
73 IOM 2018 3 VL1218 DRB DRB MOL NA DRB_MOL_0_0_0 NAO 27.6.A NA NGI NK NA 05*1 55.25 -4.5 NA 2 N
74 IOM 2018 3 VL1218 DRB DRB MOL NA DRB_MOL_0_0_0 NAO 27.6.A NA NGI NK NA 05*1 55.75 -6.5 NA 15 N
